gene	SG1-2014-09-5	SG1-2016-02-1	SG1-2015-06-3	SG1-2015-06-2	SG1-2016-02-4	SG1-2016-02-5	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-2	SG1-2016-02-2	SG1-2017-02-1	SG1-2017-02-5	SG1-2017-02-4	SG1-2017-02-3	SG1-2017-02-2	SG1-2015-06-1	SG1-2016-02-3	SG1-2015-06-5	SG1-2014-09-1	SG1-2015-06-4
Photosystem_I_iron-sulfur_center	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Putative_phycocyanobilin_lyase_CpcS_2	1	1	0	1	1	0	1	0	0	0	2	2	1	1	1	0	5	0	1	0
NADH-quinone_oxidoreductase_subunit_J	0	0	1	1	0	0	0	1	1	1	0	2	0	0	0	0	0	0	0	0
Haloacetate_dehalogenase_H-2	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0
Porphobilinogen_deaminase	2	0	3	3	0	1	1	2	1	1	4	3	1	0	0	3	3	2	3	2
Formaldehyde_dismutase	1	3	0	2	0	1	2	0	0	1	1	6	5	4	0	0	3	0	1	0
Translation_initiation_factor_IF-1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0
Dehydrosqualene_desaturase	3	3	1	2	0	1	1	0	3	1	2	1	2	0	0	1	1	1	1	1
GTPase_HflX	5	0	6	6	1	0	0	2	0	4	3	1	5	0	0	4	0	5	5	6
Ktr_system_potassium_uptake_protein_A	0	4	0	0	0	0	1	0	0	1	2	0	0	1	0	1	0	0	0	0
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate_N-acetyltransferase	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0
Bicarbonate_transporter_BicA	2	2	2	0	1	2	1	1	6	3	4	4	1	4	1	3	2	2	1	2
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]_imidazole-4-carboxamide_isomerase	0	3	0	0	0	1	0	0	0	0	1	1	2	0	0	0	2	0	0	0
Benzoyl-CoA_oxygenase_component_A	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
tRNA-Ser(cga)	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
Biotin_carboxyl_carrier_protein_of_acetyl-CoA_carboxylase	2	1	0	0	0	2	2	0	2	2	0	1	0	1	0	1	2	0	0	0
acetoacetate_decarboxylase	4	0	1	4	0	2	0	1	0	0	1	3	0	0	0	4	1	2	1	2
aspartoacylase	2	2	2	0	0	1	2	1	3	1	0	0	0	5	0	0	0	1	0	0
Methionine--tRNA_ligase	3	3	1	1	2	3	2	1	3	2	3	4	1	3	2	4	2	0	2	2
Phosphate_acyltransferase	4	2	1	1	0	3	2	2	0	1	2	1	2	2	1	1	2	0	0	0
L-2,4-diaminobutyrate_decarboxylase	4	6	4	5	3	2	5	5	5	6	3	5	5	6	5	6	3	2	3	1
Bifunctional_purine_biosynthesis_protein_PurH	5	1	3	1	2	5	7	2	2	6	6	5	4	4	4	0	3	2	1	5
3-isopropylmalate_dehydratase_large_subunit	2	5	2	3	1	1	1	0	2	0	1	3	1	1	3	1	2	1	1	3
Nitrite_transporter_NirC	1	1	2	3	2	2	0	0	2	3	2	2	0	1	2	1	2	1	0	1
ATP-dependent_Clp_protease_adapter_protein_ClpS_2	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0
tRNA_modification_GTPase_MnmE	3	3	2	2	5	3	4	3	3	6	3	8	7	4	3	7	5	2	1	1
Polyphosphate_kinase	5	2	4	6	1	2	1	3	4	2	3	0	2	8	1	3	2	3	6	0
tRNA-Pro(cgg)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inner_membrane_protein_YbaL	5	2	4	5	2	1	2	1	3	3	3	5	6	2	3	4	3	3	3	2
Arsenical_pump-driving_ATPase	1	4	1	2	3	0	1	1	3	0	4	3	3	5	1	3	1	0	2	0
Alternate_30S_ribosomal_protein_S14	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Cyclic_di-AMP_synthase_CdaA	0	0	2	2	2	2	4	1	3	1	0	2	3	1	3	3	0	1	0	1
Glycerol_kinase	2	2	3	2	2	1	1	0	3	0	2	3	1	0	3	1	0	1	1	1
Ribulose_bisphosphate_carboxylase_small_chain	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0
NAD(P)H-quinone_oxidoreductase_subunit_L	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
NAD(P)H-quinone_oxidoreductase_subunit_M	0	3	0	0	0	0	0	2	2	2	0	0	0	2	0	1	2	0	0	0
NAD(P)H-quinone_oxidoreductase_subunit_N	0	1	0	0	2	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0
Low_specificity_L-threonine_aldolase	3	2	0	2	1	2	0	1	0	1	0	2	9	0	1	0	4	1	2	0
Transcription_termination_antitermination_protein_NusA	1	1	0	0	0	0	0	0	0	0	0	0	13	0	1	0	0	0	0	0
NAD(P)H-quinone_oxidoreductase_subunit_J	0	0	0	0	0	0	0	0	1	0	0	1	16	0	0	0	0	0	0	0
D-alanine--D-alanine_ligase	2	0	0	1	1	0	0	0	1	0	0	1	0	1	1	1	0	0	1	0
Cobalt-precorrin-6A_reductase	1	1	0	0	1	1	1	2	3	0	0	2	2	0	3	0	1	0	1	0
Putative_two-component_membrane_permease_complex_subunit_SMU_747c	0	3	0	0	1	2	0	0	0	1	1	3	2	0	1	1	2	0	0	0
Chorismate_pyruvate-lyase	2	0	3	2	1	0	0	0	2	2	3	1	1	0	2	1	0	2	2	1
Cobalt_import_ATP-binding_protein_CbiO	0	2	0	0	1	2	1	1	0	1	0	3	3	1	2	1	2	1	0	0
Cell_division_protein_SepF	0	0	1	1	0	0	0	0	0	1	1	1	1	0	0	0	2	0	0	0
Undecaprenyl-phosphate_4-deoxy-4-formamido-L-arabinose_transferase	68	0	0	68	0	23	23	23	23	67	67	28	0	0	75	68	68	23	0	23
N,N'-diacetyllegionaminic_acid_synthase	0	2	1	2	3	2	3	0	6	1	2	4	4	0	0	1	3	0	2	1
Ketol-acid_reductoisomerase_(NADP(+))	1	0	1	0	1	0	2	0	2	0	0	0	1	0	2	2	1	1	4	1
Heme_A_synthase	3	0	2	2	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0
(6-4)_photolyase	2	1	4	4	1	3	0	1	6	1	0	6	0	2	3	0	1	2	4	0
Fructose-1,6-bisphosphatase_inositol-1-monophosphatase	1	1	3	3	1	3	2	1	5	2	3	298	0	4	2	0	1	1	4	2
Acetylornithine_aminotransferase	4	3	7	8	5	0	2	1	6	5	4	4	5	7	3	5	3	5	4	4
Acetoin:2,6-dichlorophenolindophenol_oxidoreductase_subunit_alpha	1	1	1	1	0	1	1	0	3	0	4	2	7	3	0	0	2	0	1	0
Aspartate_carbamoyltransferase	0	4	0	0	1	1	0	0	1	3	4	2	3	2	1	1	3	0	0	0
Oxygen-dependent_coproporphyrinogen-III_oxidase	2	2	0	0	0	3	2	3	0	2	1	4	4	0	4	1	3	0	0	0
Phosphoribosylformylglycinamidine_cyclo-ligase	2	3	0	0	2	1	1	0	2	3	3	3	2	1	3	0	3	1	0	1
3-dehydroquinate_dehydratase	0	1	1	0	0	1	1	0	1	1	2	1	1	1	1	3	2	0	1	1
Lipopolysaccharide_export_system_protein_LptC	1	2	0	1	1	2	1	1	2	4	3	4	0	0	2	4	1	1	0	0
GDP-perosamine_synthase	0	1	0	0	1	0	1	0	0	0	2	1	0	0	0	0	4	0	1	0
Chromosomal_replication_initiator_protein_DnaA	1	6	0	0	2	1	0	0	0	0	2	1	0	0	1	0	1	0	1	0
Cyanophycinase	2	2	1	2	1	2	1	1	2	2	0	0	3	0	2	1	2	1	1	1
GDP-L-fucose_synthase	3	3	5	4	4	3	0	0	3	3	2	4	4	2	1	3	3	2	2	2
Histidinol-phosphatase	0	1	0	0	2	0	0	0	1	1	5	0	5	6	4	0	4	0	1	1
Intracellular_exo-alpha-L-arabinofuranosidase_2	1	1	1	2	3	0	2	1	4	1	2	6	2	4	1	2	2	1	0	1
30S_ribosomal_protein_S6	1	1	0	0	1	1	1	0	0	4	0	1	0	1	1	0	0	0	0	0
Histidinol-phosphate_aminotransferase	3	1	2	2	0	1	1	3	2	1	3	1	3	3	1	2	0	1	1	2
Diacetyl_reductase_[(S)-acetoin_forming]	0	2	1	1	0	1	1	0	2	2	0	2	1	1	1	0	1	1	0	0
Ycf48-like_protein	3	1	2	2	2	3	2	0	1	3	4	3	2	3	2	2	2	3	0	2
Maf-like_protein	1	1	0	0	0	1	1	0	0	3	3	2	1	3	0	2	1	0	1	0
Bifunctional_protein_GlmU	1	1	1	1	2	1	1	0	2	4	1	1	1	1	2	4	1	0	1	0
Dihydropteroate_synthase	3	1	0	2	1	0	0	1	1	0	1	0	1	0	2	0	0	0	2	0
Alpha-maltose-1-phosphate_synthase	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	0	0	0	0	0
tRNA-Pro(ggg)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Phosphomethylpyrimidine_synthase	1	1	1	1	0	2	2	1	1	0	1	3	25	2	0	5	1	0	1	1
Ornithine_carbamoyltransferase	2	1	2	3	1	1	1	2	0	1	2	0	2	0	0	3	0	1	1	0
Nucleoside_diphosphate_kinase	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0
Polysialic_acid_transport_protein_KpsD	5	2	3	4	1	2	0	0	4	3	4	2	3	3	3	4	4	2	3	2
3-methyl-2-oxobutanoate_hydroxymethyltransferase	1	0	1	1	0	0	1	0	1	0	2	0	0	2	1	3	1	1	1	1
Hercynine_oxygenase	2	1	0	3	1	1	2	2	4	3	3	4	2	1	3	2	1	1	3	0
tRNA-Asp(gtc)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Urease_accessory_protein_UreF	2	1	1	1	2	0	1	0	1	0	3	0	1	2	0	0	0	0	1	1
Urease_accessory_protein_UreG	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0
ADP-ribose_pyrophosphatase	0	1	0	0	0	1	0	1	0	1	0	1	1	0	1	2	2	0	1	0
Cyclic_pyranopterin_monophosphate_synthase	0	2	1	1	3	0	1	1	2	0	0	1	1	0	1	1	2	2	1	1
putative_methyltransferase	0	2	1	1	1	1	0	0	1	1	4	1	1	2	1	0	1	0	1	1
Anhydro-N-acetylmuramic_acid_kinase	3	2	1	4	3	3	0	2	5	2	2	3	4	4	4	5	4	3	2	1
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate_synthase	6	4	4	3	2	2	2	0	4	2	3	4	3	5	5	6	4	1	1	3
Tryptophan_synthase_beta_chain	0	1	1	2	4	0	1	0	2	3	4	5	0	2	3	1	4	0	3	0
Signal_recognition_particle_receptor_FtsY	2	2	2	2	3	5	4	2	0	3	5	1	13	0	4	10	2	2	1	0
Phosphoribosylformylglycinamidine_synthase_subunit_PurS	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0
Trk_system_potassium_uptake_protein_TrkA	1	0	0	0	0	1	2	1	0	0	0	3	0	1	2	1	1	1	0	1
4,4'-diaponeurosporenoate_glycosyltransferase	0	0	1	1	2	0	0	1	2	0	3	0	1	1	0	1	2	0	1	1
ATP_synthase_subunit_a	0	0	0	0	0	0	0	0	2	0	0	0	1	3	0	0	0	0	0	0
ATP_synthase_subunit_c	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ATP_synthase_subunit_b	0	0	0	0	0	1	0	0	0	0	0	3	3	0	1	1	0	0	0	0
Soluble_lytic_murein_transglycosylase	4	3	4	1	5	3	2	0	4	1	5	0	4	4	4	2	2	1	3	3
Tryptophan_synthase_alpha_chain	0	0	0	0	0	0	1	1	0	1	1	0	3	0	3	2	1	0	0	0
Glucose--fructose_oxidoreductase	1	3	3	1	1	1	0	0	0	4	1	2	0	1	5	2	1	1	2	1
Acyl-CoA_thioesterase_YbgC	0	0	0	0	1	1	1	0	1	0	2	0	0	0	1	0	0	0	0	0
Threonine-phosphate_decarboxylase	1	3	1	2	3	0	3	1	0	2	3	0	2	1	5	0	3	1	1	1
4-hydroxybenzoate_solanesyltransferase	3	3	2	4	0	2	4	2	3	4	1	1	5	0	2	4	1	1	2	0
C-factor	1	4	1	1	0	0	1	1	2	0	5	2	2	1	0	0	2	0	1	1
Histidine--tRNA_ligase	1	4	3	3	10	2	1	2	2	2	2	5	3	4	1	9	4	0	1	0
Phycocyanobilin_lyase_subunit_CpcS	2	0	0	1	3	1	0	1	1	1	1	3	2	3	2	0	1	0	1	1
Phytoene_desaturase_(neurosporene-forming)	3	8	2	1	2	0	2	0	0	2	0	3	9	0	2	4	3	1	2	1
Replicative_DNA_helicase	0	2	0	1	3	2	2	1	0	0	1	1	4	1	1	3	2	0	0	0
Cytochrome_b6-f_complex_subunit_7	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Cytochrome_b6-f_complex_subunit_6	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0
Urease_subunit_gamma	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
Cobyrinate_a,c-diamide_synthase	1	5	3	2	5	6	4	2	0	5	8	1	0	0	4	3	2	2	3	2
Thioredoxin_C-2	1	0	0	0	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	0
1,4-alpha-glucan_branching_enzyme	2	3	0	5	3	1	3	0	11	2	0	5	0	2	2	2	1	0	1	3
Carbonic_anhydrase	0	2	1	42	2	1	1	0	1	2	2	2	5	2	2	3	3	1	2	1
GDP-mannose-dependent_monoacylated_alpha-(1-6)-phosphatidylinositol_monomannoside_mannosyltransferase	1	1	0	0	3	0	1	1	4	1	0	0	0	3	3	1	1	0	3	0
Cell_division_topological_specificity_factor	1	1	1	1	0	0	1	0	0	0	1	0	3	0	1	1	0	1	1	1
Epimerase_family_protein	2	3	2	1	0	1	3	1	0	1	4	3	0	0	4	1	3	0	1	1
Ribosomal_large_subunit_pseudouridine_synthase_B	2	0	1	1	0	0	1	1	1	2	0	1	1	1	0	0	1	0	0	0
Ribosomal_large_subunit_pseudouridine_synthase_D	4	2	2	3	1	5	4	3	3	4	4	3	2	1	3	1	1	1	3	1
Aminodeoxychorismate_anthranilate_synthase_component_2	0	0	2	1	0	0	0	0	0	0	0	1	0	0	3	2	2	0	2	0
Octanoyltransferase_LipM	2	3	2	4	3	1	0	2	2	2	1	6	13	1	4	0	3	0	3	2
Pyrroline-5-carboxylate_reductase	3	2	0	2	2	1	0	1	1	1	2	1	0	1	2	2	3	1	1	0
High-affinity_zinc_uptake_system_ATP-binding_protein_ZnuC	1	0	0	0	1	1	0	1	0	2	8	5	2	4	19	7	1	0	1	0
Ribosome-binding_ATPase_YchF	0	1	0	0	2	0	1	1	0	0	0	1	0	0	0	0	2	0	1	0
putative_inner_membrane_transporter_YedA	2	2	2	2	4	3	0	2	4	3	3	3	4	4	0	2	5	2	2	2
Molybdopterin_molybdenumtransferase	3	3	2	3	2	1	1	1	2	0	1	1	1	0	0	3	1	1	2	1
3-isopropylmalate_dehydrogenase	3	0	0	1	0	1	3	0	0	1	3	1	0	2	2	3	1	1	1	1
Trehalose_transport_system_permease_protein_SugA	1	0	2	0	0	2	2	0	1	1	6	1	2	0	1	0	0	0	2	2
Aminodeoxychorismate_synthase_component_1	9	9	4	4	8	5	1	2	5	2	7	7	3	0	2	6	5	0	4	4
putative_PIN_and_TRAM-domain_containing_protein_YacL	0	2	1	1	0	1	0	0	1	2	0	2	1	5	1	2	1	1	1	1
Phosphatase	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0
Aldehyde_decarbonylase	4	3	3	2	3	3	2	3	1	1	2	3	4	3	1	1	2	2	2	2
Leu_Ile_Val-binding_protein	2	0	0	4	3	0	2	1	0	3	3	1	0	2	2	6	3	2	1	1
Cytochrome_c-550	1	1	0	1	1	1	0	0	1	0	0	1	1	1	1	0	1	0	1	1
Diaminobutyrate--2-oxoglutarate_aminotransferase	3	2	1	3	0	1	1	0	4	5	1	3	1	0	0	0	2	2	1	0
Glutathione_transport_system_permease_protein_GsiD	1	1	1	1	2	1	1	0	2	1	3	2	0	3	2	1	0	1	0	1
50S_ribosomal_protein_L13	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	2	0	0	0	1
50S_ribosomal_protein_L10	1	2	0	0	1	1	2	2	2	1	1	0	0	2	1	1	1	0	1	0
50S_ribosomal_protein_L11	0	1	0	0	0	0	0	0	0	0	1	1	40	0	0	0	0	0	0	0
50S_ribosomal_protein_L16	0	1	0	0	2	0	1	1	1	1	0	0	3	2	2	1	0	0	0	0
50S_ribosomal_protein_L17	1	0	1	2	0	0	0	0	1	1	0	0	0	0	2	0	0	0	2	0
50S_ribosomal_protein_L14	2	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0
50S_ribosomal_protein_L15	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1
50S_ribosomal_protein_L18	1	0	0	1	0	0	1	1	0	1	0	2	2	0	2	1	0	0	1	0
50S_ribosomal_protein_L19	1	1	0	0	1	1	1	0	0	0	0	5	1	3	1	0	1	0	0	0
Carboxy-terminal_processing_protease_CtpB	2	2	3	4	2	1	1	0	5	0	2	1	0	2	1	4	0	3	4	2
tRNA-Ser(gga)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hexuronate_transporter	9	6	6	3	6	5	6	4	7	4	3	9	6	0	9	3	6	2	7	2
Carboxy-terminal_processing_protease_CtpA	0	1	1	2	1	1	0	0	0	1	1	0	3	0	1	1	0	0	1	1
Phycobilisome_7	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0
2-iminobutanoate_2-iminopropanoate_deaminase	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GTP_3',8-cyclase	3	1	1	1	0	0	0	0	1	2	0	2	3	1	2	2	1	2	1	2
Toxin_Doc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putative_30S_ribosomal_protein_PSRP-3	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Hyaluronan_synthase	7	5	6	9	1	5	2	0	4	0	4	3	1	4	1	5	2	4	7	0
30S_ribosomal_protein_S13	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SsrA-binding_protein	1	0	3	2	0	0	0	0	4	0	1	0	0	1	0	1	0	2	4	4
Phycobiliprotein_beta_chain	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Phycobilisome_8	0	1	0	0	0	1	0	0	0	0	2	2	2	0	0	0	0	0	0	0
30S_ribosomal_protein_S11	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0
Putative_outer_membrane_protein_assembly_factor	7	1	7	0	6	4	5	4	3	2	9	6	6	11	4	7	2	5	1	6
Methylthioribulose-1-phosphate_dehydratase	1	0	0	2	1	1	4	1	0	1	2	0	0	0	2	3	1	0	1	0
Aspartokinase	5	1	5	5	0	1	1	0	4	0	1	1	0	2	0	1	0	5	3	1
Molybdopterin_synthase_catalytic_subunit	1	1	0	0	0	3	1	0	0	1	1	0	0	1	0	1	1	0	0	0
Septum_site-determining_protein_MinC	0	2	0	0	0	0	0	0	0	1	0	1	2	1	0	0	0	0	0	0
Septum_site-determining_protein_MinD	2	1	1	1	1	0	2	1	1	0	0	1	1	2	2	0	2	1	0	0
scyllo-inositol_2-dehydrogenase_(NADP(+))	2	5	1	1	1	2	2	1	5	5	2	2	0	5	4	3	0	2	1	0
Spore_coat_polysaccharide_biosynthesis_protein_SpsA	7	1	2	5	4	0	0	0	4	1	3	4	5	5	1	4	5	2	8	4
Alkaline_phosphatase_synthesis_transcriptional_regulatory_protein_PhoP	0	1	0	0	0	1	0	0	0	1	0	1	0	0	2	0	1	0	0	0
ATP_synthase_gamma_chain	4	6	2	3	4	4	5	1	3	3	2	2	3	5	4	3	3	1	3	2
1-deoxy-D-xylulose_5-phosphate_reductoisomerase	3	0	1	2	3	0	1	0	3	2	1	0	0	2	0	0	1	1	1	0
Thiazole_synthase	2	2	3	5	2	1	2	1	3	1	2	4	0	5	4	3	0	1	4	1
Bifunctional_protein_HldE	2	4	0	1	0	0	3	1	1	1	1	2	2	1	3	1	1	1	1	2
Carotenoid_cleavage_oxygenase	3	2	3	6	1	0	0	1	3	0	5	6	2	0	1	1	2	5	6	5
Iron-sulfur_cluster_insertion_protein_ErpA	0	1	0	2	0	0	1	0	0	0	0	1	2	1	1	1	1	0	4	1
Phenylalanine--tRNA_ligase_alpha_subunit	2	2	1	2	2	1	0	2	0	3	4	4	4	0	2	0	2	1	1	0
Lactose_transport_system_permease_protein_LacF	5	0	3	3	2	1	2	1	0	2	1	1	2	0	2	3	0	2	3	3
Photosystem_II_protein_Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phycobilisome_rod-core_linker_polypeptide_CpcG	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	1	0
HTH-type_transcriptional_regulator_IscR	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	1	0	1	0
Endonuclease_III	0	0	1	1	1	0	0	1	1	1	1	1	0	1	2	0	1	1	1	0
Stress_response_kinase_A	2	4	1	1	2	1	3	1	4	1	3	2	0	4	2	4	1	1	4	1
D-beta-D-heptose_1-phosphate_adenylyltransferase	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tRNA-Leu(tag)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enolase	1	2	1	3	2	0	1	0	4	1	1	3	6	1	2	2	0	0	2	0
Sensor_histidine_kinase_TodS	0	1	1	1	1	1	2	1	0	0	1	2	2	1	0	0	1	0	1	1
Histone_deacetylase-like_amidohydrolase	1	3	1	1	0	1	1	0	3	2	3	2	1	0	0	3	2	0	0	2
Elongation_factor_Tu	2	1	1	2	1	0	0	1	1	0	2	0	2	0	2	2	0	0	2	0
Copper_chaperone_CopZ	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Thermophilic_serine_proteinase	1	3	1	1	2	2	3	0	3	1	3	3	4	0	1	4	4	1	2	1
